,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value,term,estimate,std.error,statistic,p.value
1,(Intercept),2.569053431,0.090609989,28.35287213,1.73E-152,(Intercept),1.594487339,0.139095752,11.46323534,1.20E-29,(Intercept),2.090509708,0.133633083,15.64365391,1.44E-52
2,AGE,-0.009162516,0.001120594,-8.176479266,4.71E-16,AGE,0.007902699,0.001720229,4.593981256,4.58E-06,AGE,-0.00481755,0.001652671,-2.915009132,0.003590199
3,SEX_DUMMY,0.103353892,0.028754152,3.594398963,0.000331787,SEX_DUMMY,0.330946035,0.044140612,7.497540781,9.14E-14,SEX_DUMMY,0.201024569,0.04240709,4.74035285,2.26E-06
4,PERSONAL,0.084142112,0.017088329,4.923952147,9.07E-07,PERSONAL,0.039550972,0.026232361,1.507716845,0.131760519,PERSONAL,0.025263682,0.025202144,1.002441749,0.316232795
5,HHINC,0.014225269,0.005416526,2.62627202,0.00868824,HHINC,0.026671343,0.00831493,3.20764502,0.001356137,HHINC,0.04240273,0.00798838,5.308051245,1.21E-07
6,MARSTAT_DUMMY,0.202966797,0.032252843,6.292989402,3.70E-10,MARSTAT_DUMMY,0.210289398,0.049511466,4.247286818,2.25E-05,MARSTAT_DUMMY,0.085859939,0.047567016,1.805030992,0.071196917
7,EDUC,0.027565054,0.010609441,2.598162625,0.009430563,EDUC,0.08642947,0.016286595,5.306785617,1.22E-07,EDUC,0.116360335,0.015646976,7.436601875,1.44E-13
8,RELIG_IMP,-0.106650137,0.013136815,-8.118416627,7.51E-16,RELIG_IMP,-0.140139181,0.020166377,-6.949150238,4.73E-12,RELIG_IMP,-0.089462571,0.019374388,-4.617568813,4.09E-06
9,SAT_WORK,0.087551737,0.010486151,8.349273097,1.15E-16,SAT_WORK,0.120825023,0.016097332,7.505903849,8.59E-14,SAT_WORK,0.110716961,0.015465146,7.159128294,1.08E-12
10,SLEEPHRS,0.049409377,0.006367082,7.760128438,1.25E-14,SLEEPHRS,0.095862569,0.009774133,9.807782094,2.75E-22,SLEEPHRS,0.056870109,0.009390276,6.056276311,1.62E-09